餐廳名稱,Ranking,評論數,餐廳類型,餐廳區域,電話,地址
上海鄉村餐廳 濟南店,4.2,"2,189",上海料理,台北市中正區,02 2322 3333,100台北市中正區濟南路二段37號
晉江茶堂,4.3,"1,121",客家料理,台北市中正區,02 8369 1785,100台北市中正區晉江街1號
孫立人將軍官邸（陸軍聯誼廳）,4.3,"2,248",台灣菜,台北市中正區,02 2321 6910,100台北市中正區南昌路一段136號
Rich Daddy cafe & kids 富爸爸餐飲會所,4.6,499,餐廳,台北市中正區,02 2396 2518,100台北市中正區金山北路1號2樓
伊芙咖啡,4.2,130,早午餐,台北市中正區,02 2341 3101,100台北市中正區鎮江街7-2號
台北喜來登大飯店 - 請客樓 The Guest House,4.3,"1,345",中國菜,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號17樓
小魏川菜餐廳,3.9,"1,757",四川料理,台北市中正區,02 2371 8427,100台北市中正區公園路13號3樓
馥樺川菜,4.4,383,中國菜,台北市中正區,02 2327 9896,100台北市中正區銅山街11巷8號1號濟南路二段8巷進入樓 請由
背包廚房手工披薩咖啡屋,4.2,"1,000",意式薄餅,台北市中正區,02 2312 2508,100台北市中正區延平南路179巷2號
欣葉日本料理-館前店,4.2,"4,826",日本菜,台北市中正區,02 2371 3311,100台北市中正區館前路12號6樓
和園川味小吃,4.2,576,四川料理,台北市中正區,02 2394 0008,100台北市中正區紹興南街5之2號
珍品小館,4.2,453,中國菜,台北市中正區,02 2393 4518,100台北市中正區青島東路7之5號
曉琳食堂,4.1,444,餐廳,台北市中正區,02 2397 3737,100台北市中正區齊東街14號
蕃薯藤自然食堂-台北植物園店,4.6,"2,386",餐廳,台北市中正區,02 2388 4188,100台北市中正區南海路41號5樓
NALA's Mexican Food,4.3,576,德州美墨料理,台北市中正區,02 2351 6692,100台北市中正區羅斯福路一段7之1號
徐州路2號庭園會館,4.1,665,中菜館,台北市中正區,02 2392 8888,100台北市中正區徐州路2號
好哆福 快樂·鬆餅·茶,4.5,248,煎餅,台北市中正區,02 2351 4688,100台北市中正區紹興南街15-2號
拉圖爾精釀柴燒餐廳 La Tour Craft Beer & Wood Grill,4.4,485,現代歐洲料理,台北市中正區,02 2388 9899,100台北市中正區延平南路84巷8號
立法院康園餐廳,4.1,538,廣東料理,台北市中正區,0937 194 721,100台北市中正區濟南路一段1號
台北喜來登大飯店 - 辰園 The Dragon,4.3,"1,095",廣東料理,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號
台北美味小館,4.0,638,台灣菜,台北市中正區,02 2321 5939,100台北市中正區林森南路61巷9號
峨嵋川菜,4.1,964,四川料理,台北市中正區,02 2365 5157,100台北市中正區羅斯福路三段316巷8弄10號
杏園餐廳,4.2,45,餐廳,台北市中正區,02 2312 3456#88056,100台北市中正區仁愛路一段1號2F
淘客美式漢堡 北車店‖北車美食,4.1,445,美國菜,台北市中正區,02 2331 6198,100台北市中正區信陽街14號
貳樓餐廳 Second Floor Cafe 公館店,4.1,"2,734",美國菜,台北市中正區,02 2364 1666,100台北市中正區羅斯福路三段316巷9弄7號
阿杜廚房,4.0,266,餐廳,台北市中正區,02 2351 4328,100台北市中正區鎮江街7-3號
紅爐牛排館,4.3,594,牛扒,台北市中正區,02 2397 2368,100台北市中正區仁愛路二段32號
TakeOut Burger&Cafe 忠孝新生店,4.3,"1,143",漢堡飽,台北市中正區,02 2321 0020,100台北市中正區新生南路一段56巷6號
大三元酒樓,4.1,"3,261",廣東料理,台北市中正區,02 2381 7180,100台北市中正區衡陽路46號
JupJup 精釀生啤餐酒館 Craft Beer Bar & Bistro,4.5,"1,267",餐廳,台北市中正區,02 2312 0687,100台北市中正區忠孝西路一段72-26號
易牙居餐廳,3.9,"1,176",中菜館,台北市中正區,02 2367 8218,100台北市中正區羅斯福路三段286巷16號
莎堤亞印度料理 台北店 Saathiya Indian Cuisine Taipei,4.2,543,印度菜,台北市中正區,02 2343 2513,100台北市中正區信義路二段195號2樓
上海鄉村 新生宴會館,4.1,"1,003",上海料理,台北市中正區,02 2396 5696,100台北市中正區仁愛路二段67號
夏慕尼新香榭鐵板燒 台北南昌店,4.3,"2,063",鐵板燒,台北市中正區,02 2368 0613,100台北市中正區南昌路二段112號2樓
集客人間茶館-杭州店,4.4,"1,911",粵式點心,台北市中正區,02 2395 1768,100台北市中正區杭州南路一段23號
金峰魯肉飯,3.9,"11,287",台灣菜,台北市中正區,02 2396 0808,100台北市中正區羅斯福路一段10號
呷米蔬食/素食餐厅,4.2,887,嚴格素食料理,台北市中正區,02 2331 9662,100台北市中正區衡陽路9號
Momoyama,4.1,241,日本菜,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號2樓
鼎富樓餐廳,4.0,490,中菜館,台北市中正區,02 2311 9495,100台北市中正區武昌街一段1-2號2樓
Power Beef 日式烤牛肉飯小酒館,4.0,927,牛丼餐廳,台北市中正區,02 2395 2583,100台北市中正區金山南路一段50號
慢慢bistro,4.0,495,餐廳,台北市中正區,02 2396 8339,100台北市中正區南昌路一段60號
鈺善閣 ‧ 素 ‧ 養生懷石(台北店),4.2,787,素食料理,台北市中正區,02 2394 5155,100台北市中正區北平東路14號
CAMPUS CAFE 站前店,4.0,"2,627",餐廳,台北市中正區,02 2388 8616,100台北市中正區館前路36號2F
祥和蔬食料理（鎮江店）,4.4,860,素食料理,台北市中正區,02 2357 0377,100台北市中正區1號 No. 1巷鎮江街
東一排骨總店,4.2,"3,605",台灣菜,台北市中正區,02 2381 1487,100台北市中正區延平南路61號2樓
重順川菜餐廳,4.2,964,四川料理,台北市中正區,02 2368 4549,100台北市中正區羅斯福路三段316巷8弄3-2號
BATAVIA - Taste of Asia,4.3,232,印尼菜,台北市中正區,02 3322 3738,100台北市中正區寧波東街24巷8號
丘比手作土司早午餐,4.3,"1,065",早午餐,台北市中正區,02 2321 5838,100台北市中正區忠孝東路一段108號2樓
儷宴會館,4.4,26,餐廳,台北市中正區,02 2392 8888,100台北市中正區徐州路2號
王朝餐廳 - 凱撒大飯店,4.0,461,中國菜,台北市中正區,02 2311 5150#2331,100台北市中正區忠孝西路一段38號
水牛城美式炭烤牛排（古亭）,4.4,"2,550",美國菜,台北市中正區,02 2351 7633,100台北市中正區杭州南路二段94號
麥食達韓式料理,4.0,574,韓國菜,台北市中正區,02 2389 9048,100台北市中正區懷寧街86號
#BFF Gossip Brunch 早午餐-公館店,4.2,"1,019",早午餐,台北市中正區,0966 938 192,100台北市中正區羅斯福路三段244巷14號
鼎泰豐 新生店,4.6,"1,202",中國菜,台北市中正區,02 2395 2395,100台北市中正區信義路二段277號
貳樓餐廳 微風台北車站店,4.2,"2,433",美國菜,台北市中正區,02 2361 0861,100台北市中正區北平西路3號2F
謝阿姨美食坊,4.1,"1,088",中國菜,台北市中正區,02 2388 1012,100台北市中正區博愛路122號
何家大碗公涼麵 成功店(捷運善導寺站)-人氣校園美食 必吃排隊小吃,4.1,340,冷麵店,台北市中正區,02 2321 8827,100台北市中正區青島東路21之9號
竜丼日式料理,4.2,47,正宗日式料理,台北市中正區,02 2393 3600,100台北市中正區南昌路一段108巷1號2樓
江浙天成樓,3.9,42,中國菜,台北市中正區,02 2312 0000,100台北市中正區忠孝西路一段43號
皇膳餐廳,4.3,273,海鮮,台北市中正區,02 2396 0682,100台北市中正區仁愛路二段48號
賴媽媽素食,4.5,239,素食料理,台北市中正區,02 2351 1978,100台北市中正區臨沂街33巷36之2號
牧場優格。怡樂咖啡,4.1,167,民族餐廳,台北市中正區,02 2327 8099,100台北市中正區林森南路45-1號
台北喜來登大飯店 十二廚 Kitchen 12,3.8,"5,723",自助餐,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號1樓
台北喜來登大飯店 - 蘇可泰 SUKHOTHAI,4.3,"1,324",泰國菜,台北市中正區,02 2321 1818,100台北市中正區忠孝東路一段12號2樓
明德素食園,4.3,43,素食料理,台北市中正區,02 2396 3088,"微風美食, No. 7號中山南路中正區台北市100"
薩莉亞 台北館前店,4.1,703,意大利菜,台北市中正區,02 2382 1233,100台北市中正區館前路6號3樓
スシロー壽司郎 台北館前路店（台灣旗艦店）,4.2,"5,891",壽司,台北市中正區,02 2361 2638,100台北市中正區館前路8號2樓
北北車魯肉飯,4.3,926,台灣菜,台北市中正區,0970 316 948,100台北市中正區公園路20巷21號
Jolly 手工釀啤 酒泰食餐廳-衡陽店,4.2,"1,566",泰國菜,台北市中正區,02 7709 8223,100台北市中正區衡陽路60號
點水樓(懷寧店),4.1,"2,139",中國菜,台北市中正區,02 2312 3100,100台北市中正區懷寧街64號
河內美食館,4.0,313,越南菜,台北市中正區,02 2312 1375,100台北市中正區公園路20巷13號
佐藤精肉店 akiba,4.4,"3,935",食堂與定食餐廳,台北市中正區,02 2356 3036,100台北市中正區八德路一段82巷9弄8號2樓
5鄉地Cinque Terre手工披薩,4.3,893,意式薄餅,台北市中正區,02 2361 0836,100台北市中正區信陽街3號2樓
逸鄉園餐廳,4.0,427,客家料理,台北市中正區,02 3393 2729,100台北市中正區忠孝東路一段152號
三禾米粉湯,4.2,632,餐廳,台北市中正區,02 2392 5489,100台北市中正區林森南路61巷3號
魅麗海 中庭餐廳(德立莊店),4.4,"2,188",牛扒,台北市中正區,02 2371 2877,100台北市中正區秀山街4號
麥當勞-台北濟南店,3.9,"2,136",快餐,台北市中正區,02 2395 8275,100台北市中正區濟南路二段66號號1樓
居食屋「和民」 站前店,3.9,"1,987",正宗日式料理,台北市中正區,02 2370 9188,10047台北市中正區館前路6號2樓
司法院員工餐廳,3.9,39,餐廳,台北市中正區,NA,100台北市中正區
台北真北平餐廳,3.8,"1,414",中國菜,台北市中正區,02 2396 9611,100台北市中正區寧波東街1號
上海極品軒餐廳(煉珍堂),4.0,"1,010",上海料理,台北市中正區,02 2388 5881,100台北市中正區衡陽路18號
宏林素食餐廳,4.2,276,素食料理,台北市中正區,02 2361 2397,100台北市中正區博愛路36號2F
天然臺湘菜館,4.0,931,湘菜館,台北市中正區,02 2391 1831,100台北市中正區羅斯福路一段61號
日本橋浜町食事处-微風北車店,4.6,249,日本菜,台北市中正區,02 2311 5058,100台北市中正區北平西路3號2樓
bb.q CHICKEN南昌聯合店,4.1,180,韓國菜,台北市中正區,02 7730 1696,100台北市中正區南昌路一段139號
涓豆腐 微風北車店,4.1,"1,553",韓國菜,台北市中正區,02 2311 9288,100台北市中正區北平西路3號2樓
原來上海,4.4,22,上海料理,台北市中正區,02 2396 5154,"B1, No. 17號仁愛路一段中正區台北市100"
好樣思維 VVG Thinking,3.9,561,西部料理,台北市中正區,02 2322 5573,100台北市中正區八德路一段一號華山文創園區西三館
享你好酒不見/公館餐廳/公館美食/公館熱炒/公館戶外餐廳/公館露天餐廳/公館resturants,3.9,323,餐廳,台北市中正區,02 2368 1470,100台北市中正區汀州路三段160巷
立川黃金鍋 西門衡陽店,4.4,998,涮涮鍋,台北市中正區,02 2331 1311,100台北市中正區衡陽路88、90號
吉豚屋 館前店,3.9,555,日本菜,台北市中正區,02 2331 2560,100台北市中正區信陽街27號
福勝亭 站前店,4.0,858,日式炸豬扒餐廳,台北市中正區,02 2371 9360,100台北市中正區許昌街30號B1樓
富田鐵板燒,3.7,450,鐵板燒,台北市中正區,02 2394 2589,100台北市中正區紹興南街15號
大根堂關東煮/台北車站美食/台北車站小吃/台北車站水煮餐/北車美食/北吃小吃/北車水煮餐/北車健康餐,4.0,509,關東煮餐廳,台北市中正區,02 2383 1191,100台北市中正區信陽街11號
陶板屋 台北重慶南店,4.0,"2,217",日本菜,台北市中正區,02 2382 6788,100台北市中正區重慶南路一段58號
蓮池會素食自助餐,4.2,301,素食料理,台北市中正區,02 2341 3861,100台北市中正區青島東路7-4號
台北國軍英雄館軍友餐廳,3.9,"1,473",餐廳,台北市中正區,02 2371 8237,100台北市中正區長沙街一段20號2樓
巧登牛排,4.0,165,美式扒房,台北市中正區,02 2331 1010,"3, No. 35號漢口街一段中正區台北市100"
泰獅 泰式料理,4.4,"1,009",泰國菜,台北市中正區,02 2311 7778,100台北市中正區武昌街一段16巷11號
青島排骨便當,3.9,733,台灣菜,台北市中正區,02 2357 7649,100台北市中正區青島東路3-3號
鄭記豬腳飯,4.1,"2,480",台灣菜,台北市中正區,02 2371 1366,100台北市中正區延平南路22號
油条 黃金牛肉粉,3.9,513,越南菜,台北市中正區,02 2393 7010,110台北市中正區南海路17號
泰讚泰式料理,4.0,439,泰國菜,台北市中正區,02 2341 2623,100台北市中正區信義路二段285號
Q丸和洋食堂(台北站前店),3.7,216,日本菜,台北市中正區,02 2383 0355,100台北市中正區忠孝西路一段47號B1樓
東北之家酸菜白肉鍋 - 青島店/外帶火鍋/外送/個人鍋,4.5,"2,483",餐廳,台北市中正區,02 3393 6618,100台北市中正區青島東路5號
翠薪越南餐廳 MadameJill's Vietnamese Cuisine,4.0,"1,487",越南菜,台北市中正區,02 2368 0254,100台北市中正區羅斯福路四段24巷11號
くら寿司 藏壽司 台北館前店 全球旗艦店,4.2,"8,088",壽司,台北市中正區,02 2331 6029,100台北市中正區館前路12號5樓
台北天成大飯店百合西餐廳,3.9,413,西部料理,台北市中正區,02 2311 8905#3322,100台北市中正區忠孝西路一段43號
石尚恐龍主題餐廳(臺博古生物館),4.0,117,餐廳,台北市中正區,02 2382 5665,100台北市中正區襄陽路25號2樓
中一素食園,4.0,196,素食料理,台北市中正區,02 2370 2492,100台北市中正區信陽街9號
好味港式快餐,4.0,"1,625",港式快餐店,台北市中正區,02 2331 1973,100台北市中正區懷寧街17之3號
"馬友友印度蔬食餐廳 Mayur Indian Kitchen Vegetarian restaurant, MIK-3",4.2,"1,322",印度菜,台北市中正區,02 2321 2261,100台北市中正區濟南路二段64-2號
欣園海南雞飯椒麻雞飯,3.9,485,雞肉,台北市中正區,02 2314 3010,10047台北市中正區南陽街17巷5號
添財日本料理武昌店,3.9,"1,147",日本菜,台北市中正區,02 2361 5119,100台北市中正區武昌街一段16巷6號
華山町餐酒館,4.2,332,餐廳,台北市中正區,02 2351 1518,100台北市中正區八德路一段34號
金子半之助 微風北車店,4.2,"3,659",天婦羅丼餐廳,台北市中正區,02 2314 0298,10041台北市中正區北平西路3號近西三門或南二門2F
北平上園樓(山西餐廳),3.8,954,京菜/北京菜館,台北市中正區,02 2393 3331,100台北市中正區林森南路4號
一兆堂鍋物,4.3,"2,304",火鍋,台北市中正區,02 2375 1088,100台北市中正區北平西路3號2樓
樂檸漢堡 THEFREEN BURGER 台北北車誠品門市,4.2,766,漢堡飽,台北市中正區,02 2381 5260,"100台北市中正區忠孝西路一段49號 B1,M區9櫃"
大戶屋台北凱撒店,4.1,704,食堂與定食餐廳,台北市中正區,02 2361 2377,100台北市中正區忠孝西路一段38號B1
麥當勞-林森二店,4.0,"3,780",快餐,台北市中正區,02 2391 1196,100台北市中正區林森南路1號
純愛小吃部 Pure Love Diner Bar,4.4,104,餐廳,台北市中正區,02 2367 5005,100台北市中正區汀州路三段104巷9號
漢堡王 光華店,4.1,"1,622",快餐,台北市中正區,02 2321 2741,100台北市中正區八德路一段31號
TASTY西堤牛排台北重慶南店,4.1,"2,521",牛扒,台北市中正區,02 2370 8292,100台北市中正區重慶南路一段129號2F
金鐘香港茶餐廳,3.3,716,粵式點心,台北市中正區,02 2388 1878,100台北市中正區衡陽路1號
三來素食館 Sun Like Vegetarian Restaurant,3.8,460,素食料理,台北市中正區,02 2381 5218,100台北市中正區武昌街一段23號
點點心台灣 微風台北車站店,3.8,"1,665",粵式點心,台北市中正區,02 2388 6811,100台北市中正區北平西路3號西三門2樓
瓦城泰國料理 - 台北三越站前店,4.1,701,泰國菜,台北市中正區,02 2311 1125,100台北市中正區忠孝西路一段66號12樓
勝博殿 站前店,4.1,666,日式炸豬扒餐廳,台北市中正區,02 2371 0828,100台北市中正區忠孝西路一段66號12樓
名門燒臘店,4.0,100,廣東料理,台北市中正區,02 2397 3989,100台北市中正區林森南路61巷17號
飯饌韓式料理,3.8,"1,094",韓國菜,台北市中正區,02 2547 2811,100台北市中正區忠孝西路一段36號B1-8
すき家 SUKIYA 台北站前店,4.0,"3,360",牛丼餐廳,台北市中正區,02 2552 8700,100台北市中正區南陽街12號
太興茶餐廳 微風台北車站店,4.1,238,港式快餐店,台北市中正區,02 2381 6786,100台北市中正區北平西路3號
大心新泰式麵食 台北微風車站店,4.0,913,泰國菜,台北市中正區,02 2361 0989,100台北市中正區北平西路3號2樓
VEGE CREEK 蔬河(新光三越 台北站前店),3.9,70,素食料理,台北市中正區,02 2311 4055,100台北市中正區忠孝西路一段66號
Royal Host 樂雅樂餐廳 - 站前店,3.6,"1,287",闔家皆宜料理,台北市中正區,02 2371 3128,100台北市中正區許昌街19號
麥當勞-台北館前店,3.8,"4,162",快餐,台北市中正區,02 2311 1460,100台北市中正區館前路8號
三軍軍官俱樂部,4.0,623,餐廳,台北市中正區,02 2331 1362,100台北市中正區延平南路142號
1991海南雞飯,3.5,144,雞肉,台北市中正區,0978 199 107,100台北市中正區林森南路61巷10-8號
吉豚屋和億北車店,3.9,"1,850",日式炸豬扒餐廳,台北市中正區,02 2311 3318,100台北市中正區忠孝西路一段36號B1
開丼 燒肉vs丼飯 HOYII北車站店,4.2,"2,078",食堂與定食餐廳,台北市中正區,02 2312 1606,100台北市中正區忠孝西路一段36號
鑫耀鑫,3.7,806,雞肉,台北市中正區,02 2381 1511,100台北市中正區公園路20巷12號
瓦城EXPRESS 台北微風車站店,4.1,487,泰國菜,台北市中正區,02 2381 1589,100台北市中正區北平西路3號2樓
明星咖啡館,4.0,"2,502",咖啡店,台北市中正區,02 2381 5589,100台北市中正區武昌街一段5號
銀座杏子日式豬排-北車微風店,4.0,"1,207",日式炸豬扒餐廳,台北市中正區,02 2375 5866,10041台北市中正區北平西路3號2樓
華山-合掌村,4.1,"1,106",壽司,台北市中正區,0976 181 829,100台北市中正區忠孝東路一段108號
大戶屋微風台北車站店,4.1,832,正宗日式料理,台北市中正區,02 2331 9337,100台北市中正區北平西路3號2F
魔法咖哩-站前店,3.9,"1,031",日式咖哩,台北市中正區,02 2388 6298,100台北市中正區許昌街30號2樓
SKYLARK和平公園店,3.7,"1,060",加州料理,台北市中正區,02 2375 6364,10046台北市中正區懷寧街90號1樓
修圓素食,4.2,"1,401",素食料理,台北市中正區,02 2375 6511,100台北市中正區忠孝西路一段72之32號
清真泰皇餐廳,4.2,254,清真菜,台北市中正區,02 2368 1071,100台北市中正區羅斯福路三段244巷7號
超跩食堂 南昌廣東粥,3.7,596,粥餐廳,台北市中正區,02 2322 2927,100台北市中正區寧波東街11-3號
台糖台北會館-甜心餐廳,3.7,197,自助餐,台北市中正區,02 2388 5522,100台北市中正區中華路一段39號
打咔生猛活海鮮,3.7,"3,088",海鮮,台北市中正區,02 3322 5589,100台北市中正區羅斯福路一段43號
麥當勞-台北南昌店,3.8,"1,287",快餐,台北市中正區,02 2351 8531,100台北市中正區南昌路一段149號
Mo-Mo-Paradise 台北衡陽牧場,4.4,"1,193",涮涮鍋,台北市中正區,02 2361 9288,100台北市中正區衡陽路20號
石研室 爆炒石頭火鍋專賣店 - 和億北車店,4.4,"3,145",火鍋,台北市中正區,02 2371 5580,10041台北市中正區忠孝西路一段36號和億北車站B1F
天仁喫茶趣 衡陽店,4.1,"1,189",中式茶館,台北市中正區,02 2312 2828,100台北市中正區衡陽路62號2樓
Library and Book Café,5.0,2,西部料理,台北市中正區,02 2312 3456,10051台北市中正區仁愛路一段一號
閒酥雞總店,4.5,262,熟食店,台北市中正區,02 2321 3739,100台北市中正區南昌路一段108巷1號
肯德基KFC-台北八德餐廳,3.7,"1,449",快餐,台北市中正區,02 2358 2227,100台北市中正區八德路一段64號
大戶屋遠百寶慶店,4.1,570,餐廳,台北市中正區,02 2382 2122,100台北市中正區寶慶路32號B1
肯德基KFC 台北南昌餐廳,3.6,804,快餐,台北市中正區,02 2396 3828,100台北市中正區南昌路一段12號
清真黃牛肉麵館,3.9,"1,537",清真菜,台北市中正區,02 2331 8203,100台北市中正區延平南路23號
亞蘭德倫小吃 叮噹店,3.8,211,中國菜,台北市中正區,02 2331 7977,100台北市中正區信陽街6-3號
Cafe de Gear,3.9,"1,161",咖啡廳,台北市中正區,02 2356 3389,100台北市中正區寧波東街3-3號
咖啡園 Checkers - 凱撒大飯店,3.6,"1,012",餐廳,台北市中正區,02 2311 5150#2237,100台北市中正區忠孝西路一段38號
台北花園大酒店-饗聚廚房,3.5,946,餐廳,台北市中正區,02 2314 6611,100台北市中正區中華路二段1號1樓
吉野家 館前店,3.8,"1,226",牛丼餐廳,台北市中正區,02 2311 9251,100台北市中正區館前路59號
微風百貨台大醫院B1美食街-包家小鎮,3.7,174,中式包點店,台北市中正區,02 2395 2298,100台北市中正區中山南路7號
台北天成大飯店 Cosmos Hotel Taipei,4.0,"6,485",酒店,台北市中正區,02 2361 7856,100台北市中正區忠孝西路一段43號
麥當勞-台北公園店,3.8,"2,725",快餐,台北市中正區,02 2375 4891,100台北市中正區公園路30-1號
添好運 HOYII北車站店,3.7,"5,449",粵式點心,台北市中正區,02 2370 7078,100台北市中正區忠孝西路一段36號
太陽蕃茄拉麵 站前本店,4.4,"2,719",拉麵,台北市中正區,02 2361 7188,100台北市中正區忠孝西路一段38號凱撤飯店B1F
阿圖麻油雞 - 台北博愛店,3.8,835,餐廳,台北市中正區,02 2388 9102,100台北市中正區博愛路102號
RUMAH MAKAN NITA INDO AREMA 茗捷印尼餐廳,4.0,340,印尼菜,台北市中正區,0939 888 014,100台北市中正區市民大道100號台北地下街Y26
乾杯列車 台北總站,3.9,793,日式燒肉,台北市中正區,02 2361 8000,100台北市中正區北平西路3號2樓
新美心印尼餐廳 New INDO-RASA Restoran,3.8,157,印尼菜,台北市中正區,02 2550 6569,100台北市中正區市民大道
中山堂堡壘古蹟餐廳,4.0,490,咖啡店,台北市中正區,02 2331 1186,100台北市中正區延平南路98號
天和鮮物‧華山旗艦店,3.9,474,超級市場,台北市中正區,02 2351 6268,100台北市中正區北平東路30號1樓
漾 紅花鐵板燒 新光三越台北站前店,3.5,118,鐵板燒,台北市中正區,02 2370 1666,100台北市中正區忠孝西路一段66號B1 號
茗香園冰室 - 公館店,3.3,941,粵式點心,台北市中正區,02 2365 8033,100台北市中正區羅斯福路四段132號2F
浪浪別哭,4.5,"3,089",咖啡廳,台北市中正區,02 2356 0766,100台北市中正區林森北路9巷13號
龍門客棧餃子館 (林森店),3.8,"3,204",餃子,台北市中正區,02 2351 0729,100台北市中正區林森南路61巷19號
小南門之點心世界,3.1,466,中國菜,台北市中正區,02 2389 3029,100台北市中正區北平西路3號
bb.q CHICKEN公館店,3.6,91,餐廳,台北市中正區,02 2362 5968,100台北市中正區汀州路三段153號155號1F
一風堂微風台北車站店,3.5,732,拉麵,台北市中正區,02 2370 9222,100台北市中正區北平西路3號2樓
強棒亭-長崎強棒麵專門店,3.3,513,餐廳,台北市中正區,02 2370 5615,100台北市中正區南陽街4號2樓
HOYII和億北車站,4.0,"1,427",美食廣場,台北市中正區,02 2370 1578,100台北市中正區忠孝西路一段36號
辛殿麻辣鍋｜公館店,4.0,702,火鍋,台北市中正區,02 7733 7667,100台北市中正區羅斯福路三段316巷9弄1號
微風台北車站,4.1,"15,179",購物中心,台北市中正區,02 6632 8999,100台北市中正區北平西路3號
台北凱撒大飯店,4.0,"6,738",酒店,台北市中正區,02 2311 5151,100台北市中正區忠孝西路一段38號
麥當勞-台北車站微風店,3.0,399,快餐,台北市中正區,02 2311 6665,100台北市中正區北平西路3號1樓
台糖台北會館,3.9,702,餐廳,台北市中正區,02 2388 5522,100台北市中正區中華路一段39號
中正紀念堂,4.4,"58,097",文化地標,台北市中正區,02 2343 1100,100台北市中正區中山南路21號
